[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/sean/Programming/Online-Resource-Allocation
[NotebookApp | INFO] 0 active kernels
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://localhost:8888/?token=347263431f7429217ff877b3e0c1b564c72df9b2c7b6c376
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    Copy/paste this URL into your browser when you connect for the first time,
    to login with a token:
        http://localhost:8888/?token=347263431f7429217ff877b3e0c1b564c72df9b2c7b6c376&token=347263431f7429217ff877b3e0c1b564c72df9b2c7b6c376
[NotebookApp | INFO] Accepting one-time-token-authenticated connection from 127.0.0.1
[NotebookApp | WARNING] Notebook simulations/simple-demand-distribution/waterfilling_levels.ipynb is not trusted
[NotebookApp | INFO] Kernel started: 29004b2f-9f3b-421f-bd6f-82f02dd903dc
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 29004b2f-9f3b-421f-bd6f-82f02dd903dc
[NotebookApp | INFO] Saving file at /simulations/simple-demand-distribution/waterfilling_levels.ipynb
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
[NotebookApp | INFO] Saving file at /functions/food_bank_functions.py
